page,element,current_price,correct_price,status,source_evidence,notes
/,Season pass pricing card amount + period,"$149/season","$149/season pass",incorrect,"live https://betwaggle.com/ lines 2487-2488",Amount is correct; canonical wording missing "pass"
/tour/,Comparison table pricing row,"$149/season and $32/event","$149/season pass and $32/event",incorrect,"live https://betwaggle.com/tour/ line 295",No $199 present; season wording still non-canonical
/pricing/,Season CTA + season card copy,"Set Up Your Season — $149/season and $149/season unlimited events","Set Up Your Season — $149/season pass and $149/season pass",incorrect,"live https://betwaggle.com/pricing/ lines 794,802-803,971-972",Core pricing page still uses short season label
/demo/,Primary CTA and helper text,"$32/event","$32/event",correct,"live https://betwaggle.com/demo/ lines 448,451",Demo pricing copy is aligned
/create/,Checkout handoff + pricing mentions,"$32/event + checkout via /api/create-checkout","$32/event + checkout via /api/create-checkout",correct,"live https://betwaggle.com/create/ lines 917,1771,2374",No direct /api/create-event usage in public create flow
all public CTA buttons,Primary event CTA copy on / /tour/ /pricing/ /demo,"Set Up Your Event — $32/event","Set Up Your Event — $32/event",correct,"live checks on /,/tour/,/pricing/,/demo/",No event-tier CTA drift found
legacy $199 scan,Core pages + templates + JS,"No $199 found","No $199 expected",correct,"rg scan on index/tour/pricing/demo/create/emails/worker.js",Known /tour $199 issue not reproducible in this run
email templates,drip + outreach templates,"$32/event and/or $149/season pass","$32/event and/or $149/season pass",correct,"rg scan on emails/**/*.html + emails/**/*.md",No season-pass copy drift detected in email templates
JSON/JS hardcoded amounts,checkout constants in worker,"event 3200 cents + season 14900 cents","$32/event + $149/season pass",correct,"worker.js CHECKOUT_TIERS/WAGGLE_PRICES",Numeric pricing constants are correct
worker label/prompt copy,display labels and ad prompt text,"$149/season","$149/season pass",incorrect,"worker.js around WAGGLE_LABELS and prompt strings",Copy drift persists in backend-generated strings
