page,purpose,should_be_public,http_status,redirect_target,pricing_status,link_status,notes,last_checked_utc
/,Homepage and conversion entrypoint,yes,200,,incorrect,working,"Season card still uses '$149/season' wording",2026-04-03T23:04:40Z
/create/,Event setup and payment handoff,yes,200,,correct,working,"Checkout path uses /api/create-checkout; no public /api/create-event reference",2026-04-03T23:04:40Z
/tour/,Product explainer + format comparison,yes,200,,incorrect,working,"Pricing row shows '$149/season' + '$32/event'",2026-04-03T23:04:40Z
/pricing/,Canonical pricing page,yes,200,,incorrect,working,"Season CTA and fallback text still '$149/season'",2026-04-03T23:04:40Z
/demo/,Interactive demo funnel,yes,200,,correct,working,"CTA shows '$32/event'; route healthy",2026-04-03T23:04:40Z
/affiliates/,Primary affiliate page,yes,200,,n/a,working,"Canonical affiliate page",2026-04-03T23:04:40Z
/affiliate/,Legacy affiliate alias,yes (legacy),301,https://betwaggle.com/affiliates/,n/a,working,"Now hard-redirects to /affiliates/",2026-04-03T23:04:40Z
/marketing/,Internal docs alias,no,404,,n/a,broken (expected),"Not publicly reachable",2026-04-03T23:04:40Z
/gtm/,Internal docs alias,no,404,,n/a,broken (expected),"Not publicly reachable",2026-04-03T23:04:40Z
/ads/,Internal docs alias,no,404,,n/a,broken (expected),"Not publicly reachable",2026-04-03T23:04:40Z
/marketing-private/,Internal private page,no,200,,n/a,working (exposed),"Publicly reachable private route",2026-04-03T23:04:40Z
/gtm-private/,Internal private page,no,200,,n/a,working (exposed),"Publicly reachable private route",2026-04-03T23:04:40Z
/ads-private/,Internal private page,no,200,,n/a,working (exposed),"Publicly reachable private route",2026-04-03T23:04:40Z
/join/,Legacy route referenced in known-issues list,yes (legacy),404,,n/a,broken,"Still 404 in live check",2026-04-03T23:04:40Z
/about/,Legacy route referenced in known-issues list,yes (legacy),404,,n/a,broken,"Still 404 in live check",2026-04-03T23:04:40Z
/games/stroke-play/,Legacy game slug in known-issues list,yes (legacy),404,,n/a,broken,"Still 404 in live check",2026-04-03T23:04:40Z
/games/round-robin/,Legacy game slug in known-issues list,yes (legacy),404,,n/a,broken,"Still 404 in live check",2026-04-03T23:04:40Z
/games/chapman/,Legacy game slug in known-issues list,yes (legacy),404,,n/a,broken,"Still 404 in live check",2026-04-03T23:04:40Z
