page,element,current_price,correct_price,status,evidence,notes
/,Primary CTA text (live),Set Up Your Event — $32/event,Set Up Your Event — $32/event,correct,"live / lines 1547,1561,2468,2482,2497",Event CTA canonical on live homepage
/,Season pass card copy (live),$149/season,$149/season pass,incorrect,"live / lines 2487-2488",Season wording drift persists on live homepage
/tour/,Pricing table season row (live),$149/season,$149/season pass,incorrect,"live /tour/ line 295",Known mismatch still live
/tour/,CTA buttons (live),Set Up Your Event — $32/event,Set Up Your Event — $32/event,correct,"live /tour/ lines 131,210,272,304",Event CTA canonical on live tour page
/pricing/,Season metadata + hero + JS prompts (live),$149/season,$149/season pass,incorrect,"live /pricing/ lines 7,11,12,22,23,728,785,794,802,803,860,884,954,959,971,972,980",Canonical season wording not deployed
/pricing/,Event CTA buttons (live),Set Up Your Event — $32/event,Set Up Your Event — $32/event,correct,"live /pricing/ lines 720,754,775,912,922",Event CTA canonical on live pricing page
/demo/,Primary conversion CTA (live),Set Up Your Event — $32/event,Set Up Your Event — $32/event,correct,"live /demo/ line 448",Demo pricing CTA canonical
/demo/,Support copy (live),$32/event when you're ready,$32/event when you're ready,correct,"live /demo/ line 451",Demo support copy canonical
/index.html,Primary CTA text (source),Set Up Your Event — $32,Set Up Your Event — $32/event,incorrect,"source index.html lines 1554,1568,2475,2489,2843,2871",Source/live mismatch; deploy currently serving /event variant
/tour/index.html,Primary CTA text (source),Set Up Your Event — $32,Set Up Your Event — $32/event,incorrect,"source tour/index.html lines 131,210,272,304",Source uses non-canonical CTA shorthand
/pricing/index.html,Primary CTA text (source),Set Up Your Event — $32,Set Up Your Event — $32/event,incorrect,"source pricing/index.html lines 720,754,775,912,922",Source uses non-canonical CTA shorthand
/pricing/index.html,Season pricing copy (source),$149/season pass,$149/season pass,correct,"source pricing/index.html lines 7,11,12,22,23,728,785,794,802,803,860,884,954,959,971,972,980",Source season wording normalized
/emails/drip-03-feature-spotlight.html,CTA button text,Set Up Your Event — $32,Set Up Your Event — $32/event,incorrect,"emails/drip-03-feature-spotlight.html line 57",Drip CTA shorthand non-canonical
/emails/drip-04-urgency.html,CTA button text,Set Up Your Event — $32,Set Up Your Event — $32/event,incorrect,"emails/drip-04-urgency.html line 39",Drip CTA shorthand non-canonical
/emails/drip-05-last-chance.html,CTA button text,Set Up Your Event — $32,Set Up Your Event — $32/event,incorrect,"emails/drip-05-last-chance.html line 48",Drip CTA shorthand non-canonical
/emails/affiliate-welcome.html,Season offer line,$149/season,$149/season pass,incorrect,"emails/affiliate-welcome.html line 50",Season wording mismatch in affiliate template
/emails/outreach/fl-charity-sequence.html,Season offer line,$149/season,$149/season pass,incorrect,"emails/outreach/fl-charity-sequence.html line 38",Season wording mismatch in outreach template
/emails/outreach/sc-nc-premium-sequence.html,Season offer lines,$149/season,$149/season pass,incorrect,"emails/outreach/sc-nc-premium-sequence.html lines 11,37,81",Season wording mismatch in outreach template
/worker.js,WAGGLE_LABELS season text,Waggle Season Pass ($149/season),Waggle Season Pass ($149/season pass),incorrect,"worker.js lines 2321,2324",Hardcoded season label mismatch
/worker.js,Ad prompt club segment price,$149/season,$149/season pass,incorrect,"worker.js lines 4791,4796",Hardcoded pricing copy mismatch in prompt template
/core audited surfaces,Legacy $199 price occurrences,not found,$32/event or $149/season pass,correct,"rg scan 2026-04-03T23:32Z across core pages/emails/worker/create/app-js/data",No $199 detected in audited scope
