page,element,current_price,correct_price,status,evidence,notes
/,Hero + pricing cards + footer CTA,$32/event and $149/season pass,$32/event and $149/season pass,correct,"live scan 2026-04-03T20:16Z (/ lines 1504,1518,2444,2799)",No $199 found
/tour/,Comparison table + CTAs,$32/event and $149/season pass,$32/event and $149/season pass,correct,"live scan 2026-04-03T20:16Z (/tour lines 131,210,272,295)",Known '$199' mismatch not reproduced
/pricing/,Hero + plan cards + checkout CTA,$32/event and $149/season pass,$32/event and $149/season pass,correct,"live scan 2026-04-03T20:16Z (/pricing lines 715,772,781,847,910)",No $199 found
/demo/,Primary CTA + support copy,$32/event,$32/event,correct,"live scan 2026-04-03T20:16Z (/demo line 448)",No conflicting season price on demo page
homepage CTA text,All primary/secondary setup CTAs,"Set Up Your Event — $32/event; Set Up Your Season — $149/season pass",same,correct,"live / lines 2798,2799,2834,2836",CTA consistency confirmed
/tour CTA text,All visible CTAs,Set Up Your Event — $32/event,same,correct,"live /tour lines 131,210,272,304",No stale pricing CTA
/pricing CTA text,All visible CTAs,"Set Up Your Event — $32/event; Set Up Your Season — $149/season pass",same,correct,"live /pricing lines 741,762,781,899,910",CTA consistency confirmed
emails/templates,Drip + outreach pricing language,$32/event and $149/season pass references,$32/event and $149/season pass,mixed,"source scan /emails",Copy mostly aligned; affiliate payout emails intentionally per-event commission
worker.js hardcodes,Price constants + labels,3200/14900 amounts with mixed '$149/season' label variants,$32/event and $149/season pass,mixed,"source scan worker.js",Numeric values correct; canonical wording still mixed
create/index.html hardcodes,Plan badges + summary strings,$32/event and $149/season strings,$32/event and $149/season pass,mixed,"source scan create/index.html",Amount correct; wording normalization pending
/pro/,Affiliate economics copy,$149 per scramble event,$149/season pass,incorrect,"live /pro line 1082",Conflicts with canonical season-pass framing
legacy $199 check,Core audited pages,No $199 in / /tour /pricing /demo,No $199 anywhere in audited core pages,correct,"live grep 2026-04-03T20:16Z",Historical issue appears resolved on core pages
