page,purpose,should_be_public,http_status,redirect_target,pricing_status,link_status,notes,last_checked_utc
/,Homepage and primary conversion funnel,yes,200,,incorrect,working,"Season wording is '$149/season' not '$149/season pass'",2026-04-03T21:23:25Z
/create/,Event setup flow,yes,200,,incorrect,working,"Shows '$149/season' in plan badge/tile",2026-04-03T21:23:25Z
/tour/,Product tour and comparison,yes,200,,incorrect,working,"Price row uses '$149/season'; no $199 observed",2026-04-03T21:23:25Z
/pricing/,Canonical pricing page,yes,200,,incorrect,working,"Multiple '$149/season' instances in hero/meta/CTA/JS",2026-04-03T21:23:25Z
/demo/,Live demo funnel,yes,200,,correct,working,"Event CTA '$32/event' present; simulation tests pass",2026-04-03T21:23:25Z
/overview/,Marketing overview,yes,200,,n/a,working,"Public route healthy",2026-04-03T21:23:25Z
/walkthrough/,Explainer walkthrough,yes,200,,mixed,working,"Contains '$149/season' wording in slide copy",2026-04-03T21:23:25Z
/register/,Signup/registration,yes,200,,n/a,working,"Public route healthy",2026-04-03T21:23:25Z
/pro/,Pro/affiliate-oriented page,yes,200,,mixed,working,"Needs separate pricing wording review",2026-04-03T21:23:25Z
/b/,Alternative landing page,yes,200,,incorrect,working,"Contains '$149/season' wording",2026-04-03T21:23:25Z
/affiliates/,Affiliate landing page,yes,200,,n/a,working,"Canonical affiliate entrypoint",2026-04-03T21:23:25Z
/affiliate/,Legacy affiliate alias,yes (legacy),200,,n/a,working,"Duplicate live page with /affiliates/",2026-04-03T21:23:25Z
/games/,Games hub,yes,200,,n/a,working,"Public route healthy",2026-04-03T21:23:25Z
/guides/,Guides hub,yes,200,,n/a,working,"Public route healthy",2026-04-03T21:23:25Z
/courses/,Courses page,yes,200,,n/a,working,"Public route healthy",2026-04-03T21:23:25Z
/my-events/,User event listing,yes,200,,n/a,working,"Public route healthy",2026-04-03T21:23:25Z
/partner/,Affiliate partner dashboard entry,yes,200,,n/a,working,"Public route healthy",2026-04-03T21:23:25Z
/marketing/,Internal docs alias,no,404,,n/a,broken (expected),"Not publicly accessible (good)",2026-04-03T21:23:25Z
/gtm/,Internal docs alias,no,404,,n/a,broken (expected),"Not publicly accessible (good)",2026-04-03T21:23:25Z
/ads/,Internal docs alias,no,404,,n/a,broken (expected),"Not publicly accessible (good)",2026-04-03T21:23:25Z
/marketing-private/,Internal private page,no,200,,n/a,working (exposed),"Publicly reachable; should be access-controlled",2026-04-03T21:23:25Z
/gtm-private/,Internal private page,no,200,,n/a,working (exposed),"Publicly reachable; should be access-controlled",2026-04-03T21:23:25Z
/ads-private/,Internal private page,no,200,,n/a,working (exposed),"Publicly reachable; should be access-controlled",2026-04-03T21:23:25Z
/join/,Legacy route,yes (legacy),301,https://betwaggle.com/register/,n/a,working,"Redirects cleanly",2026-04-03T21:23:25Z
/about/,Legacy route,yes (legacy),301,https://betwaggle.com/tour/,n/a,working,"Redirects cleanly",2026-04-03T21:23:25Z
/games/stroke-play/,Legacy game slug,yes (legacy),301,https://betwaggle.com/games/match-play/,n/a,working,"Redirects cleanly",2026-04-03T21:23:25Z
/games/round-robin/,Legacy game slug,yes (legacy),301,https://betwaggle.com/games/nassau/,n/a,working,"Redirects cleanly",2026-04-03T21:23:25Z
/games/chapman/,Legacy game slug,yes (legacy),301,https://betwaggle.com/games/best-ball/,n/a,working,"Redirects cleanly",2026-04-03T21:23:25Z
